ticker,date,sector,total_revenue,net_income,cash_to_assets,debt_to_assets,ocf_to_debt,volatility_6m,robust_lev_vol_interaction,robust_debt_cash_interaction,interest_rate,inflation_yoy,stock_12m_return,spy_12m_return,alpha,risk_label
AAPL,2009-10-27,Information Technology,36537000000.0,5704000000.0,0.09773263263449147,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
QCOM,2009-11-05,Information Technology,10416000000.0,1592000000.0,0.09899799599198397,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
JCI,2009-11-17,Industrials,17237000000.0,-1798000000.0,0.09212225570383126,0.1672602042812977,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
ROK,2009-11-18,Industrials,4332500000.0,220700000.0,0.1495227256892027,0.21011682188726571,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
TEL,2009-11-18,Information Technology,10256000000.0,-3256000000.0,0.0937731196054254,0.14278668310727496,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
SBUX,2009-11-20,Consumer Discretionary,9774600000.0,390800000.0,0.10755271840481997,0.0984973461483288,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
V,2009-11-20,Financials,6911000000.0,2353000000.0,0.14302530900529722,0.0013630308850407361,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
J,2009-11-20,Industrials,11467376000.0,399854000.0,0.2333955951004084,0.00016641775508093504,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
EMR,2009-11-23,Industrials,20915000000.0,1724000000.0,0.07893538430400243,0.23149319435308405,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
BEN,2009-11-24,Financials,4194087000.0,896778000.0,0.31499716479855283,0.006775756529861288,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
ADI,2009-11-24,Information Technology,2014908000.0,247772000.0,0.18791825852878746,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
BDX,2009-11-25,Health Care,7160874000.0,1231603000.0,0.1498442064934596,0.04330803695023034,0.0,,-3.0,-0.7071067811865472,,,0.0,0.0,0.0,0
COR,2009-11-25,Health Care,71759990000.0,503397000.0,0.07436729798110035,0.08671299973328893,0.0,,-3.0,0.7071067811865475,,,0.0,0.0,0.0,0
APD,2009-11-25,Materials,8256200000.0,631300000.0,0.037469971064770395,0.3107966014536691,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
AMAT,2009-12-11,Information Technology,5013607000.0,-305327000.0,0.16464810847186562,0.020957688247519934,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
DE,2009-12-17,Industrials,20756100000.0,873500000.0,0.11309034682952208,0.422820342015822,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
HPQ,2009-12-17,Information Technology,114552000000.0,7660000000.0,0.115671739300865,0.12177806426885252,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
ADBE,2010-01-22,Information Technology,2945853000.0,386508000.0,0.13724999612069752,0.13732044150719072,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
CCL,2010-01-29,Consumer Discretionary,13157000000.0,1790000000.0,0.014605673951404914,0.2506311931586806,0.0,,-3.0,0.7071067811865476,,,0.0,0.0,0.0,0
AMZN,2010-01-29,Consumer Discretionary,24509000000.0,902000000.0,0.24933034098313184,0.007891117063635706,0.0,,-3.0,-0.7071067811865476,,,0.0,0.0,0.0,0
ISRG,2010-01-29,Health Care,1052168000.0,232606000.0,0.12236008301855097,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
LUV,2010-01-29,Industrials,10350000000.0,99000000.0,0.07807134347186208,0.23302263648468707,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
SLB,2010-02-05,Energy,22702000000.0,3142000000.0,0.007261317794710892,0.010757507844016136,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
TROW,2010-02-05,Financials,1871900000.0,152500000.0,0.23153599352085474,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
UNP,2010-02-05,Industrials,14143000000.0,1898000000.0,0.04362178731431266,0.2272105635463334,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
BA,2010-02-08,Industrials,68281000000.0,1314000000.0,0.14850208692569256,0.20827357259117207,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
BIIB,2010-02-09,Health Care,4377348000.0,977062000.0,0.06804243851684091,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
FAST,2010-02-09,Industrials,1930330000.0,184357000.0,0.12419558250298714,0.0,,,-3.0,-0.7071067811865476,,,0.0,0.0,0.0,0
NOC,2010-02-09,Industrials,33755000000.0,1686000000.0,0.10825730530212878,0.13853629512098373,0.0,,-3.0,0.7071067811865476,,,0.0,0.0,0.0,0
UNH,2010-02-10,Health Care,87138000000.0,3822000000.0,0.16597510373443983,0.15257854179016006,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
RTX,2010-02-11,Industrials,52920000000.0,4179000000.0,,0.15263082385854165,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
MAR,2010-02-12,Consumer Discretionary,10908000000.0,-353000000.0,0.014496407412076138,0.2816084709441573,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
HON,2010-02-12,Industrials,30908000000.0,2153000000.0,0.07779691145428286,0.18175758249083435,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
DOC,2010-02-12,Real Estate,1157030000.0,146151000.0,0.009194220840992863,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
MMM,2010-02-16,Industrials,23123000000.0,3244000000.0,0.11155963302752293,0.20954128440366973,0.0,,-3.0,-0.6782057339061474,,,0.0,0.0,0.0,0
MAS,2010-02-16,Industrials,7792000000.0,-145000000.0,0.15400544959128065,0.3928065395095368,0.0,,-3.0,-0.47023497157458194,,,0.0,0.0,0.0,0
WM,2010-02-16,Industrials,11791000000.0,1060000000.0,0.0538905171598752,0.4194478585610287,0.0,,-3.0,1.1484407054807295,,,0.0,0.0,0.0,0
MSI,2010-02-16,Information Technology,22044000000.0,-28000000.0,0.1120571807991251,0.15236495723157442,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
CCI,2010-02-16,Real Estate,1685407000.0,-114123000.0,0.06992548604923823,0.6004733582644114,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
YUM,2010-02-17,Consumer Discretionary,10836000000.0,1083000000.0,0.049384443200895356,0.45691102406267486,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
HAL,2010-02-17,Energy,14675000000.0,1155000000.0,0.12589188535494014,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
PFG,2010-02-17,Financials,8849100000.0,645700000.0,0.016263137034568966,0.012240181069313601,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
DGX,2010-02-17,Health Care,7455243000.0,766222000.0,0.06238653339472465,0.3429372289339946,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
NSC,2010-02-17,Industrials,7969000000.0,1034000000.0,0.03639153787131426,0.24768899119441704,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
TRV,2010-02-18,Financials,24680000000.0,,0.0,0.0,,,-3.0,-3.0,,,0.0,0.0,0.0,0
MA,2010-02-18,Financials,5098684000.0,1462624000.0,0.27514889336797194,0.0028911905432179976,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
ELV,2010-02-18,Health Care,65028100000.0,4745900000.0,0.09239449481442828,0.159966158533076,0.0,,-3.0,-3.0,,,0.0,0.0,0.0,0
